date,recession,gdp_change,median_house,gold_price,dow_open,fed_rate,InvYield_10yr_5yr,unemp_rate,earnings_chg,cpi,inflation,housing_starts
1/1/78,0,4.1,52300,173.207,829.7,6.53,0.25,6.4,184,62.5,0.64,1718
2/1/78,0,4.1,53200,178.36,830.5,7.18,0.22,6.3,354,62.9,0.64,1738
3/1/78,0,4.1,53200,183.771,769.9,6.86,0.18,6.3,512,63.4,0.79,2032
4/1/78,0,6.1,53300,175.323,742.1,6.97,0.17,6.1,702,63.9,0.79,2197
5/1/78,0,6.1,55700,176.19,756.7,7.27,0.16,6,347,64.5,0.94,2075
6/1/78,0,6.1,56700,183.761,837.3,7.48,0.14,5.9,441,65.2,1.09,2070
7/1/78,0,5.2,54800,188.569,840.6,8.01,0.11,6.2,254,65.7,0.77,2092
8/1/78,0,5.2,56100,206.455,819,7.97,0.1,5.9,279,66,0.46,1996
9/1/78,0,5.2,57300,212.212,862.3,8.33,-0.04,6,138,66.5,0.76,1970
10/1/78,0,6.7,58300,227.432,876.8,8.9,0.05,5.8,335,67.1,0.9,1981
11/1/78,0,6.7,58700,207.082,865.8,9.87,-0.11,5.9,435,67.4,0.45,2094
12/1/78,0,6.7,59900,207.895,805.5,9.95,-0.01,6,280,67.7,0.45,2044
1/1/79,0,6.5,60300,226.986,802,10.84,-0.15,5.9,137,68.3,0.89,1630
2/1/79,0,6.5,61200,245.59,805,10.05,-0.01,5.9,247,69.1,1.17,1520
3/1/79,0,6.5,60400,242.348,839.2,10.05,-0.11,5.8,424,69.8,1.01,1847
4/1/79,0,2.7,62600,239.174,808.8,10.07,-0.09,5.8,-62,70.6,1.15,1748
5/1/79,0,2.7,62800,257.738,859.9,10.38,0.01,5.6,372,71.5,1.27,1876
6/1/79,0,2.7,64200,279.36,854.9,10.24,0.04,5.7,319,72.3,1.12,1913
7/1/79,0,2.4,63800,295.009,822.3,10.54,0.06,5.7,109,73.1,1.11,1760
8/1/79,0,2.4,64000,300.793,840.6,10.75,0.03,6,83,73.8,0.96,1778
9/1/79,0,2.4,66000,354.498,846.4,11.29,-0.1,5.9,27,74.6,1.08,1832
10/1/79,0,1.3,62300,390.959,887.6,12.06,-0.04,6,154,75.2,0.8,1681
11/1/79,0,1.3,63900,391.518,877.7,15.26,-0.47,5.9,92,75.9,0.93,1524
12/1/79,0,1.3,61500,463.666,815.7,13.96,-0.04,6,99,76.7,1.05,1498
1/1/80,1,1.4,62900,674.58,822.4,14.77,-0.02,6.3,128,77.8,1.43,1341
2/1/80,1,1.4,64900,665.893,838.7,13.44,-0.01,6.3,83,78.9,1.41,1350
3/1/80,1,1.4,62600,554.276,875.9,16.33,-0.74,6.3,111,80.1,1.52,1047
4/1/80,1,-0.8,63100,516.71,863.1,19.79,-0.7,6.9,-145,81,1.12,1051
5/1/80,1,-0.8,63100,514.268,785.8,14.07,-0.15,7.5,-429,81.8,0.99,927
6/1/80,1,-0.8,64900,600.786,817.1,11.06,0.34,7.6,-319,82.7,1.1,1196
7/1/80,1,-1.6,64000,645.75,850.9,9.47,0.58,7.8,-261,82.7,0,1269
8/1/80,0,-1.6,63400,626.36,867.9,10.48,0.6,7.7,259,83.3,0.73,1436
9/1/80,0,-1.6,68300,673.941,935.3,10.74,-0.13,7.5,114,84,0.84,1471
10/1/80,0,0,65600,662.27,932.6,13.05,0.01,7.5,277,84.8,0.95,1523
11/1/80,0,0,66700,623.875,932.4,13.77,-0.28,7.5,257,85.5,0.83,1510
12/1/80,0,0,67000,596.712,924.5,17.71,-0.43,7.2,196,86.3,0.94,1482
1/1/81,0,1.6,67600,557.813,991.1,22,-0.19,7.5,90,87,0.81,1547
2/1/81,0,1.6,66200,500.8,964,17.25,-0.16,7.4,72,87.9,1.03,1246
3/1/81,0,1.6,66700,499.693,947.1,15.53,-0.3,7.4,105,88.5,0.68,1306
4/1/81,0,3,68700,496.625,974.6,14.51,-0.22,7.2,73,89.1,0.68,1360
5/1/81,0,3,70800,480.316,1003.9,19.79,-0.32,7.5,13,89.8,0.79,1140
6/1/81,0,3,68800,460.5,997.8,19.01,-0.53,7.5,194,90.6,0.89,1045
7/1/81,1,4.3,69500,409.284,991.8,21.09,-0.43,7.2,111,91.6,1.1,1041
8/1/81,1,4.3,72600,410.24,976.9,17.46,-0.67,7.4,-36,92.3,0.76,940
9/1/81,1,4.3,65800,443.773,952.3,17.52,-0.71,7.6,-88,93.2,0.98,911
10/1/81,1,1.3,69600,437.68,881.5,16.96,-0.38,7.9,-97,93.4,0.21,873
11/1/81,1,1.3,71200,413.405,850,14.44,-0.04,8.3,-209,93.7,0.32,837
12/1/81,1,1.3,68400,410.119,856,13.03,0.26,8.5,-276,94,0.32,910
1/1/82,1,-2.2,66200,384.163,889,13.13,0.04,8.6,-330,94.3,0.32,843
2/1/82,1,-2.2,65700,374.458,875,15.69,-0.21,8.9,-2,94.6,0.32,866
3/1/82,1,-2.2,67200,330.413,866.3,14.11,-0.12,9,-129,94.5,-0.11,931
4/1/82,1,-1,70200,350.335,824.4,15.48,-0.16,9.3,-284,94.9,0.42,917
5/1/82,1,-1,69300,334.505,822.8,15.28,-0.07,9.4,-43,95.8,0.95,1025
6/1/82,1,-1,69300,314.961,848.4,13.76,-0.05,9.6,-242,97,1.25,902
7/1/82,1,-2.6,70900,337.895,819.5,14.73,-0.22,9.8,-344,97.5,0.52,1166
8/1/82,1,-2.6,70100,363.413,811.9,11.41,-0.05,9.8,-158,97.7,0.21,1046
9/1/82,1,-2.6,67800,438.15,808.6,11.28,0.18,10.1,-180,97.9,0.2,1144
10/1/82,1,-1.4,69700,422.786,901.3,10.87,0.01,10.4,-276,98.2,0.31,1173
11/1/82,1,-1.4,73500,415.114,896.3,9.43,0.15,10.8,-121,98,-0.2,1372
12/1/82,0,-1.4,71700,444.776,991.7,9.1,0.4,10.8,-15,97.6,-0.41,1303
1/1/83,0,1.4,73500,481.838,1039.3,11.2,0.3,10.4,219,97.8,0.2,1586
2/1/83,0,1.4,73800,493.488,1046.5,8.63,0.44,10.4,-73,97.9,0.1,1699
3/1/83,0,1.4,72500,420.707,1075.7,8.65,0.48,10.3,173,97.9,0,1606
4/1/83,0,3.3,74700,433.171,1112.2,9.12,0.35,10.2,274,98.6,0.72,1472
5/1/83,0,3.3,74500,437.393,1130,8.84,0.44,10.1,280,99.2,0.61,1776
6/1/83,0,3.3,75800,413.148,1225.4,9.38,0.29,10.1,377,99.5,0.3,1733
7/1/83,0,5.7,75200,422.645,1200,9.31,0.21,9.4,416,99.9,0.4,1785
8/1/83,0,5.7,76800,416.205,1222,9.64,0.17,9.5,-308,100.2,0.3,1910
9/1/83,0,5.7,81000,412.245,1199.2,9.61,0.21,9.2,1118,100.7,0.5,1710
10/1/83,0,7.9,75900,394.245,1216.2,10.59,0.25,8.8,273,101,0.3,1715
11/1/83,0,7.9,75900,381.016,1233.1,9.45,0.31,8.5,355,101.2,0.2,1785
12/1/83,0,7.9,75900,388.06,1225.2,9.46,0.26,8.3,355,101.3,0.1,1688
1/1/84,0,8.6,76200,370.735,1276,9.92,0.27,8,443,101.9,0.59,1897
2/1/84,0,8.6,79200,386.038,1258.6,9.74,0.33,7.8,484,102.4,0.49,2260
3/1/84,0,8.6,78400,394.743,1220.6,9.73,0.3,7.8,272,102.6,0.2,1663
4/1/84,0,8,79600,381.371,1154.6,10.24,0.27,7.7,363,103.1,0.49,1851
5/1/84,0,8,81400,376.957,1164.9,11.04,0.25,7.4,306,103.4,0.29,1774
6/1/84,0,8,80500,378.314,1170.8,10.53,0.17,7.2,381,103.7,0.29,1843
7/1/84,0,6.9,80700,347.598,1106.3,10.85,0.14,7.5,310,104.1,0.39,1732
8/1/84,0,6.9,82000,347.677,1132.4,12.04,0.07,7.5,243,104.5,0.38,1586
9/1/84,0,6.9,81300,340.945,1115.3,11.64,0.03,7.3,312,105,0.48,1698
10/1/84,0,5.6,80100,340.217,1222.4,11.38,0.03,7.4,285,105.3,0.29,1590
11/1/84,0,5.6,82500,341.286,1206.7,10.26,0.21,7.2,353,105.3,0,1689
12/1/84,0,5.6,78300,319.622,1207.4,8.92,0.33,7.3,125,105.3,0,1612
1/1/85,0,4.6,82500,302.852,1188.9,8.74,0.48,7.3,265,105.5,0.19,1711
2/1/85,0,4.6,82000,299.833,1211.6,8.74,0.36,7.2,131,106,0.47,1632
3/1/85,0,4.6,84200,303.205,1286.1,8.74,0.34,7.2,339,106.4,0.38,1800
4/1/85,0,3.7,85600,324.883,1284,8.83,0.38,7.3,196,106.9,0.47,1821
5/1/85,0,3.7,80100,316.395,1266.8,8.83,0.46,7.2,274,107.3,0.37,1680
6/1/85,0,3.7,86300,316.298,1258.1,7.64,0.55,7.4,147,107.6,0.28,1676
7/1/85,0,4.3,82100,317.202,1315.4,8.12,0.61,7.4,189,107.8,0.19,1684
8/1/85,0,4.3,83300,330.131,1335.5,8.26,0.56,7.1,192,108,0.19,1743
9/1/85,0,4.3,84700,323.764,1347.5,7.8,0.53,7.1,205,108.3,0.28,1676
10/1/85,0,4.2,85400,326.093,1334,8.26,0.6,7.1,188,108.7,0.37,1834
11/1/85,0,4.2,87200,325.548,1328.6,8.32,0.53,7,210,109,0.28,1698
12/1/85,0,4.2,87900,321.985,1374.3,8.54,0.55,7,166,109.3,0.28,1942
1/1/86,0,4.1,86600,345.561,1472.1,13.46,0.53,6.7,123,109.6,0.27,1972
2/1/86,0,4.1,89700,339.053,1546.7,8.09,0.52,7.2,115,109.3,-0.27,1848
3/1/86,0,4.1,88700,346.095,1571,7.95,0.23,7.2,87,108.8,-0.46,1876
4/1/86,0,3.7,92500,340.716,1709.1,7.49,0.19,7.1,187,108.6,-0.18,1933
5/1/86,0,3.7,92100,342.325,1818.6,7.13,0.25,7.2,127,108.9,0.28,1854
6/1/86,0,3.7,91200,342.798,1784,6.84,0.27,7.2,-93,109.5,0.55,1847
7/1/86,0,3.1,94100,348.554,1876.7,6.97,0.14,7,318,109.5,0,1782
8/1/86,0,3.1,91500,376.29,1892.7,6.38,0.32,6.9,115,109.7,0.18,1807
9/1/86,0,3.1,95000,418.152,1775.3,5.77,0.58,7,346,110.2,0.46,1687
10/1/86,0,2.9,96400,423.863,1898.3,5.99,0.48,7,187,110.3,0.09,1681
11/1/86,0,2.9,94000,396.983,1767.6,5.93,0.58,6.9,187,110.4,0.09,1623
12/1/86,0,2.9,95000,391.595,1877.7,6.38,0.49,6.6,201,110.5,0.09,1833
1/1/87,0,2.7,98500,408.524,1914.2,14.35,0.43,6.6,169,111.2,0.63,1774
2/1/87,0,2.7,95200,401.045,1897.4,6.28,0.48,6.6,241,111.6,0.36,1784
3/1/87,0,2.7,98400,408.848,2158,6.02,0.48,6.6,245,112.1,0.45,1726
4/1/87,0,3.4,96500,439.665,2224,6.22,0.47,6.3,335,112.7,0.54,1614
5/1/87,0,3.4,104900,461.65,2304.7,7.67,0.41,6.3,229,113.1,0.35,1628
6/1/87,0,3.4,109000,449.282,2286.4,6.74,0.37,6.2,172,113.5,0.35,1594
7/1/87,0,3.3,105000,450.33,2291.6,6.07,0.4,6.1,347,113.8,0.26,1575
8/1/87,0,3.3,106800,460.988,2418.5,6.75,0.47,6,173,114.4,0.53,1605
9/1/87,0,3.3,106500,460.12,2572.1,6.84,0.48,5.9,227,115,0.52,1695
10/1/87,0,4.5,106500,465.764,2663,7.71,0.44,6,491,115.3,0.26,1515
11/1/87,0,4.5,117000,468.14,2596.3,6.62,0.54,5.8,234,115.4,0.09,1656
12/1/87,0,4.5,111800,487.079,1993.5,7.04,0.57,5.7,289,115.4,0,1400
1/1/88,0,4.2,119000,477.758,1833.6,6.89,0.48,5.7,92,115.7,0.26,1271
2/1/88,0,4.2,110900,442.124,1950.8,6.96,0.48,5.7,461,116,0.26,1473
3/1/88,0,4.2,108900,443.491,1958.2,6.66,0.54,5.7,275,116.5,0.43,1532
4/1/88,0,4.5,111000,451.558,2071.6,6.7,0.49,5.4,243,117.1,0.52,1573
5/1/88,0,4.5,110000,451.32,1988.1,6.98,0.55,5.6,230,117.5,0.34,1421
6/1/88,0,4.5,111500,451.657,2032.3,7.24,0.46,5.4,364,118,0.43,1478
7/1/88,0,4.2,118000,437.452,2031.1,7.75,0.39,5.4,224,118.5,0.42,1467
8/1/88,0,4.2,110000,431.064,2141.7,7.91,0.37,5.6,124,119,0.42,1493
9/1/88,0,4.2,116600,413.439,2128.7,8.27,0.3,5.4,339,119.8,0.67,1492
10/1/88,0,3.8,112900,406.39,2027.6,8.54,0.25,5.4,263,120.2,0.33,1522
11/1/88,0,3.8,110400,419.966,2112.9,8.35,0.3,5.3,341,120.3,0.08,1569
12/1/88,0,3.8,121000,419.248,2148.7,8.54,0.13,5.3,281,120.5,0.17,1563
1/1/89,0,4.3,113000,404.445,2114.5,9.04,-0.02,5.4,263,121.1,0.5,1621
2/1/89,0,4.3,118000,387.973,2168.4,9.02,-0.06,5.2,266,121.6,0.41,1425
3/1/89,0,4.3,123000,390.274,2342.3,9.82,-0.07,5,194,122.3,0.58,1422
4/1/89,0,3.7,116700,384.72,2258.4,9.79,-0.18,5.2,170,123.1,0.65,1339
5/1/89,0,3.7,119000,371.35,2293.6,9.85,-0.05,5.2,122,123.8,0.57,1331
6/1/89,0,3.7,122800,367.727,2418.8,9.84,-0.04,5.3,114,124.1,0.24,1397
7/1/89,0,3.9,116000,375.21,2480.2,9.63,0.1,5.2,42,124.4,0.24,1427
8/1/89,0,3.9,122900,365.548,2440.1,8.95,0.25,5.2,51,124.6,0.16,1332
9/1/89,0,3.9,120000,361.798,2660.7,8.93,0.01,5.3,249,125,0.32,1279
10/1/89,0,2.7,123000,366.8,2737.3,9.24,-0.05,5.3,107,125.6,0.48,1410
11/1/89,0,2.7,125000,394.361,2692.8,8.98,0.05,5.4,276,125.9,0.24,1351
12/1/89,0,2.7,125200,409.655,2645.1,8.51,0.11,5.4,84,126.1,0.16,1251
1/1/90,0,2.8,125000,410.118,2706.3,7.97,0.07,5.4,361,127.4,1.03,1551
2/1/90,0,2.8,126900,416.543,2753.2,8.25,0.07,5.3,238,128,0.47,1437
3/1/90,0,2.8,119400,393.661,2590.5,8.3,0.06,5.2,209,128.7,0.55,1289
4/1/90,0,2.4,130000,374.929,2627.3,8.3,0,5.4,44,128.9,0.16,1248
5/1/90,0,2.4,125000,368.855,2707.2,8.11,0,5.4,151,129.2,0.23,1212
6/1/90,0,2.4,125000,352.657,2656.8,8.28,0.06,5.2,18,129.9,0.54,1177
7/1/90,1,1.7,118700,361.82,2876.7,8.32,0.08,5.5,-33,130.4,0.38,1171
8/1/90,1,1.7,118400,394.861,2880.7,8.07,0.23,5.7,-207,131.6,0.92,1115
9/1/90,1,1.7,113000,389.56,2905.2,8.06,0.37,5.9,-97,132.7,0.84,1110
10/1/90,1,0.6,120000,381.333,2614.4,8.25,0.33,5.9,-153,133.5,0.6,1014
