date,median_house,gold_price,dow_open,gdp,fed_rate,13_wk,5_yr,10_yr,30_yr,unemployment,gas_price,earnings_chg,cpi,inflation,cars_sold,housing_starts,recession
Jul-86,94100.00,348.554,1876.70,3.10,6.97,5.99,7.23,7.37,7.21,7.00,0.90,318.00,109.5,0.00,15.74,1782.00,N
Aug-86,91500.00,376.29,1892.70,3.10,6.38,5.77,7.02,7.34,7.46,6.90,0.85,115.00,109.7,0.18,17.29,1807.00,N
Sep-86,95000.00,418.152,1775.30,3.10,5.77,5.19,6.45,7.03,7.23,7.00,0.86,346.00,110.2,0.46,21.50,1687.00,N
Oct-86,96400.00,423.863,1898.30,2.90,5.99,5.19,6.93,7.41,7.57,7.00,0.84,187.00,110.3,0.09,14.79,1681.00,N
Nov-86,94000.00,396.983,1767.60,2.90,5.93,5.21,6.71,7.29,7.57,6.90,0.83,187.00,110.4,0.09,14.82,1623.00,N
Dec-86,95000.00,391.595,1877.70,2.90,6.38,5.42,6.69,7.18,7.42,6.60,0.83,201.00,110.5,0.09,18.08,1833.00,N
Jan-87,98500.00,408.524,1914.20,2.70,14.35,5.55,6.75,7.18,7.44,6.60,0.87,169.00,111.2,0.63,12.41,1774.00,N
Feb-87,95200.00,401.045,1897.40,2.70,6.28,5.61,6.75,7.23,7.52,6.60,0.91,241.00,111.6,0.36,15.11,1784.00,N
Mar-87,98400.00,408.848,2158.00,2.70,6.02,5.48,6.69,7.17,7.46,6.60,0.92,245.00,112.1,0.45,15.30,1726.00,N
Apr-87,96500.00,439.665,2224.00,3.40,6.22,5.54,7.12,7.59,7.89,6.30,0.94,335.00,112.7,0.54,15.45,1614.00,N
May-87,104900.00,461.65,2304.70,3.40,7.67,5.60,7.98,8.39,8.59,6.30,0.95,229.00,113.1,0.35,14.57,1628.00,N
Jun-87,109000.00,449.282,2286.40,3.40,6.74,5.70,8.08,8.45,8.63,6.20,0.97,172.00,113.5,0.35,15.62,1594.00,N
Jul-87,105000.00,450.33,2291.60,3.30,6.07,5.64,7.96,8.36,8.49,6.10,0.98,347.00,113.8,0.26,15.66,1575.00,N
Aug-87,106800.00,460.988,2418.50,3.30,6.75,6.05,8.34,8.81,9.02,6.00,1.00,173.00,114.4,0.53,17.09,1605.00,N
Sep-87,106500.00,460.12,2572.10,3.30,6.84,6.12,8.57,9.05,9.24,5.90,1.00,227.00,115,0.52,16.12,1695.00,N
Oct-87,106500.00,465.764,2663.00,4.50,7.71,6.63,9.22,9.66,9.80,6.00,0.99,491.00,115.3,0.26,14.26,1515.00,N
Nov-87,117000.00,468.14,2596.30,4.50,6.62,5.62,8.44,8.98,9.13,5.80,0.99,234.00,115.4,0.09,14.54,1656.00,N
Dec-87,111800.00,487.079,1993.50,4.50,7.04,5.55,8.44,9.01,9.15,5.70,0.98,289.00,115.4,0.00,15.65,1400.00,N
Jan-88,119000.00,477.758,1833.60,4.20,6.89,5.88,8.35,8.83,8.95,5.70,0.95,92.00,115.7,0.26,16.08,1271.00,N
Feb-88,110900.00,442.124,1950.80,4.20,6.96,5.66,7.78,8.26,8.42,5.70,0.93,461.00,116,0.26,16.51,1473.00,N
Mar-88,108900.00,443.491,1958.20,4.20,6.66,5.62,7.61,8.15,8.40,5.70,0.92,275.00,116.5,0.43,16.18,1532.00,N
Apr-88,111000.00,451.558,2071.60,4.50,6.70,5.85,8.19,8.68,8.92,5.40,0.95,243.00,117.1,0.52,15.55,1573.00,N
May-88,110000.00,451.32,1988.10,4.50,6.98,6.08,8.39,8.94,9.17,5.60,0.97,230.00,117.5,0.34,15.94,1421.00,N
Jun-88,111500.00,451.657,2032.30,4.50,7.24,6.47,8.57,9.03,9.12,5.40,0.97,364.00,118,0.43,15.85,1478.00,N
Jul-88,118000.00,437.452,2031.10,4.20,7.75,6.55,8.38,8.77,8.84,5.40,0.98,224.00,118.5,0.42,15.70,1467.00,N
Aug-88,110000.00,431.064,2141.70,4.20,7.91,6.91,8.70,9.07,9.17,5.60,1.00,124.00,119,0.42,15.39,1493.00,N
Sep-88,116600.00,413.439,2128.70,4.20,8.27,7.28,8.95,9.25,9.31,5.40,0.99,339.00,119.8,0.67,15.05,1492.00,N
Oct-88,112900.00,406.39,2027.60,3.80,8.54,7.24,8.59,8.84,8.96,5.40,0.98,263.00,120.2,0.33,15.16,1522.00,N
Nov-88,110400.00,419.966,2112.90,3.80,8.35,7.34,8.38,8.68,8.76,5.30,0.97,341.00,120.3,0.08,15.39,1569.00,N
Dec-88,121000.00,419.248,2148.70,3.80,8.54,7.85,8.88,9.01,9.02,5.30,0.95,281.00,120.5,0.17,16.44,1563.00,N
Jan-89,113000.00,404.445,2114.50,4.30,9.04,8.14,9.25,9.23,9.09,5.40,0.94,263.00,121.1,0.50,15.37,1621.00,N
Feb-89,118000.00,387.973,2168.40,4.30,9.02,8.37,9.05,8.99,8.83,5.20,0.96,266.00,121.6,0.41,14.99,1425.00,N
Mar-89,123000.00,390.274,2342.30,4.30,9.82,8.66,9.43,9.36,9.18,5.00,0.97,194.00,122.3,0.58,14.66,1422.00,N
Apr-89,116700.00,384.72,2258.40,3.70,9.79,8.82,9.39,9.21,9.07,5.20,1.10,170.00,123.1,0.65,16.02,1339.00,N
May-89,119000.00,371.35,2293.60,3.70,9.85,8.62,9.19,9.14,9.00,5.20,1.15,122.00,123.8,0.57,15.27,1331.00,N
Jun-89,122800.00,367.727,2418.80,3.70,9.84,8.61,8.65,8.61,8.61,5.30,1.15,114.00,124.1,0.24,14.38,1397.00,N
Jul-89,116000.00,375.21,2480.20,3.90,9.63,7.97,7.99,8.09,8.07,5.20,1.13,42.00,124.4,0.24,14.70,1427.00,N
Aug-89,122900.00,365.548,2440.10,3.90,8.95,7.63,7.49,7.74,7.83,5.20,1.10,51.00,124.6,0.16,16.55,1332.00,N
Sep-89,120000.00,361.798,2660.70,3.90,8.93,7.86,8.18,8.19,8.14,5.30,1.07,249.00,125,0.32,15.66,1279.00,N
Oct-89,123000.00,366.8,2737.30,2.70,9.24,7.89,8.33,8.28,8.22,5.30,1.07,107.00,125.6,0.48,13.58,1410.00,N
Nov-89,125000.00,394.361,2692.80,2.70,8.98,7.78,7.86,7.91,7.89,5.40,1.05,276.00,125.9,0.24,13.37,1351.00,N
Dec-89,125200.00,409.655,2645.10,2.70,8.51,7.53,7.70,7.81,7.88,5.40,1.03,84.00,126.1,0.16,13.55,1251.00,N
