date,median_house,gold_price,dow_open,gdp,fed_rate,13_wk,5_yr,10_yr,30_yr,unemployment,gas_price,earnings_chg,cpi,inflation,cars_sold,housing_starts,recession
Sep-81,"$65,800 ",425,952.3,4.3,17.52,15.59,16.120001,15.41,14.7,7.6,1.358,-88,93.5,0.98,11.08,911,Y
Oct-81,"$69,600 ",428.75,881.5,1.3,16.96,14.57,16.129999,15.75,15.14,7.9,1.353,-97,93.5,0.21,9.418,873,Y
Nov-81,"$71,200 ",427,850,1.3,14.44,12.69,14.61,14.57,14.41,8.3,1.351,-209,94,0.32,9.494,837,Y
Dec-81,"$68,400 ",414.5,856,1.3,13.03,10.49,13.11,13.37,13.06,8.5,1.348,-276,94,0.32,9.055,910,Y
Jan-82,"$66,200 ",397.5,889,-2.2,13.13,11.39,14.15,14.19,13.87,8.6,1.341,-330,93.7,0.32,10.285,843,Y
Feb-82,"$65,700 ",387,875,-2.2,15.69,13.68,14.79,14.58,14.33,8.9,1.318,-2,93.7,0.32,10.924,866,Y
Mar-82,"$67,200 ",362.6,866.3,-2.2,14.11,12.27,13.97,13.85,13.63,9,1.268,-129,93.5,-0.11,10.651,931,Y
Apr-82,"$70,200 ",320,824.4,-1,15.48,13.24,14.26,14.1,13.6,9.3,1.21,-284,93.5,0.42,9.747,917,Y
May-82,"$69,300 ",361.25,822.8,-1,15.28,12.74,14.02,13.95,13.45,9.4,1.224,-43,96.3,0.95,11.103,1025,Y
Jun-82,"$69,300 ",325.25,848.4,-1,13.76,12.01,13.98,13.93,13.66,9.6,1.296,-242,96.3,1.25,9.613,902,Y
Jul-82,"$70,900 ",317.5,819.5,-2.6,14.73,12.55,14.62,14.4,13.9,9.8,1.318,-344,96.6,0.52,9.759,1166,Y
Aug-82,"$70,100 ",342.9,811.9,-2.6,11.41,9.36,13.46,13.41,13.17,9.8,1.31,-158,96.6,0.21,9.947,1046,Y
Sep-82,"$67,800 ",411.5,808.6,-2.6,11.28,8.42,12.58,12.76,12.41,10.1,1.292,-180,97.8,0.2,11.129,1144,Y
Oct-82,"$69,700 ",397,901.3,-1.4,10.87,7.35,11.5,11.51,11.65,10.4,1.28,-276,97.8,0.31,10.14,1173,Y
Nov-82,"$73,500 ",423.25,896.3,-1.4,9.43,7.81,10.41,10.56,10.84,10.8,1.268,-121,97.7,-0.2,12.03,1372,Y
Dec-82,"$71,700 ",436,991.7,-1.4,9.1,8.28,10.34,10.74,10.69,10.8,1.244,-15,97.7,-0.41,11.249,1303,N
Jan-83,"$73,500 ",456.9,1039.3,1.4,11.2,7.92,10.02,10.32,10.39,10.4,1.214,219,98.2,0.2,10.865,1586,N
Feb-83,"$73,800 ",499.5,1046.5,1.4,8.63,8.16,10.34,10.78,10.95,10.4,1.17,-73,98.2,0.1,10.608,1699,N
Mar-83,"$72,500 ",408.5,1075.7,1.4,8.65,7.96,9.74,10.22,10.45,10.3,1.135,173,98.9,0,11.023,1606,N
Apr-83,"$74,700 ",414.75,1112.2,3.3,9.12,8.64,10.25,10.6,10.67,10.2,1.198,274,98.9,0.72,11.673,1472,N
May-83,"$74,500 ",429.25,1130,3.3,8.84,8.05,9.82,10.26,10.39,10.1,1.243,280,99.5,0.61,12.028,1776,N
Jun-83,"$75,800 ",437.5,1225.4,3.3,9.38,8.58,10.48,10.77,10.91,10.1,1.261,377,99.5,0.3,12.96,1733,N
Jul-83,"$75,200 ",416,1200,5.7,9.31,8.73,10.72,10.93,11,9.4,1.272,416,100.2,0.4,12.917,1785,N
Aug-83,"$76,800 ",422,1222,5.7,9.64,9.27,11.63,11.8,11.82,9.5,1.269,-308,100.2,0.3,12.246,1910,N
Sep-83,"$81,000 ",414.25,1199.2,5.7,9.61,9.22,11.76,11.97,11.95,9.2,1.257,1118,101.2,0.5,12.451,1710,N
Oct-83,"$75,900 ",405,1216.2,7.9,10.59,8.74,11.22,11.47,11.48,8.8,1.239,273,101.2,0.3,13.311,1715,N
Nov-83,"$75,900 ",382,1233.1,7.9,9.45,8.47,11.38,11.69,11.77,8.5,1.224,355,101.7,0.2,13.125,1785,N
Dec-83,"$75,900 ",405,1225.2,7.9,9.46,8.87,11.37,11.63,11.67,8.3,1.215,355,101.7,0.1,14.503,1688,N
Jan-84,"$76,200 ",382.4,1276,8.6,9.92,9,11.59,11.86,11.93,8,1.2,443,103.1,0.59,14.21,1897,N
Feb-84,"$79,200 ",373.75,1258.6,8.6,9.74,8.89,11.31,11.64,11.74,7.8,1.193,484,103.1,0.49,14.381,2260,N
Mar-84,"$78,400 ",394.25,1220.6,8.6,9.73,9.19,11.77,12.07,12.16,7.8,1.194,272,103.8,0.2,14.21,1663,N
Apr-84,"$79,600 ",388.5,1154.6,8,10.24,9.68,12.29,12.56,12.55,7.7,1.211,363,103.8,0.49,14.357,1851,N
May-84,"$81,400 ",375.8,1164.9,8,11.04,9.7,12.57,12.82,12.87,7.4,1.221,306,104.1,0.29,14.856,1774,N
Jun-84,"$80,500 ",384.25,1170.8,8,10.53,9.8,13.46,13.63,13.58,7.2,1.214,381,104.1,0.29,14.673,1843,N
Jul-84,"$80,700 ",373.05,1106.3,6.9,10.85,9.74,13.73,13.87,13.64,7.5,1.197,310,105,0.39,14.758,1732,N
Aug-84,"$82,000 ",342.35,1132.4,6.9,12.04,10.43,12.74,12.81,12.78,7.5,1.184,243,105,0.38,14.279,1586,N
Sep-84,"$81,300 ",348.25,1115.3,6.9,11.64,10.67,12.85,12.88,12.57,7.3,1.189,312,105.7,0.48,13.959,1698,N
Oct-84,"$80,100 ",343.75,1222.4,5.6,11.38,10.23,12.51,12.54,12.35,7.4,1.195,285,105.7,0.29,14.642,1590,N
Nov-84,"$82,500 ",333.5,1206.7,5.6,10.26,9.01,11.45,11.66,11.53,7.2,1.193,353,106,0,14.774,1689,N
Dec-84,"$78,300 ",329,1207.4,5.6,8.92,8.41,11.23,11.56,11.56,7.3,1.179,125,106,0,14.602,1612,N
Jan-85,"$82,500 ",308.3,1188.9,4.6,8.74,7.83,11.22,11.7,11.69,7.3,1.145,265,106.8,0.19,15.563,1711,N
Feb-85,"$82,000 ",306.65,1211.6,4.6,8.74,8.19,10.93,11.29,11.32,7.2,1.128,131,106.8,0.47,15.724,1632,N
Mar-85,"$84,200 ",287.75,1286.1,4.6,8.74,8.66,11.52,11.86,11.82,7.2,1.155,339,107.8,0.38,15.358,1800,N
Apr-85,"$85,600 ",329.25,1284,3.7,8.83,8.15,11.28,11.66,11.65,7.3,1.199,196,107.8,0.47,15.521,1821,N
May-85,"$80,100 ",321.35,1266.8,3.7,8.83,7.75,10.81,11.27,11.37,7.2,1.223,274,108.2,0.37,15.561,1680,N
Jun-85,"$86,300 ",314,1258.1,3.7,7.64,7.02,9.5,10.05,10.4,7.4,1.233,147,108.2,0.28,15.093,1676,N
Jul-85,"$82,100 ",317.75,1315.4,4.3,8.12,6.87,9.58,10.19,10.44,7.4,1.233,189,108.6,0.19,15.498,1684,N
Aug-85,"$83,300 ",327.5,1335.5,4.3,8.26,7.27,9.95,10.51,10.62,7.1,1.222,192,108.6,0.19,16.91,1743,N
Sep-85,"$84,700 ",333.25,1347.5,4.3,7.8,7.11,9.71,10.24,10.46,7.1,1.209,205,109.5,0.28,19.104,1676,N
Oct-85,"$85,400 ",325.75,1334,4.2,8.26,7.03,9.69,10.29,10.55,7.1,1.198,188,109.5,0.37,14.185,1834,N
Nov-85,"$87,200 ",325.1,1328.6,4.2,8.32,7.2,9.45,9.98,10.24,7,1.201,210,110.7,0.28,14.622,1698,N
Dec-85,"$87,900 ",325.3,1374.3,4.2,8.54,7.26,9.14,9.69,9.94,7,1.203,166,110.7,0.28,15.711,1942,N
Jan-86,"$86,600 ",326.8,1472.1,4.1,13.46,7.1,8.51,9.04,9.28,6.7,1.19,123,110.8,0.27,16.06,1972,N
Feb-86,"$89,700 ",350.5,1546.7,4.1,8.09,7,8.5,9.02,9.28,7.2,1.119,115,110.8,-0.27,15.371,1848,N
Mar-86,"$88,700 ",338.15,1571,4.1,7.95,6.97,7.76,7.99,8.16,7.2,0.983,87,110.3,-0.46,14.161,1876,N
Apr-86,"$92,500 ",344,1709.1,3.7,7.49,6.33,7.18,7.37,7.47,7.1,0.895,187,110.3,-0.18,15.849,1933,N
May-86,"$92,100 ",345.75,1818.6,3.7,7.13,6.11,7.2,7.45,7.54,7.2,0.927,127,110.6,0.28,16.302,1854,N
Jun-86,"$91,200 ",343.2,1784,3.7,6.84,6.36,8.05,8.32,7.91,7.2,0.958,-93,110.6,0.55,15.92,1847,N
Jul-86,"$94,100 ",346.75,1876.7,3.1,6.97,5.99,7.23,7.37,7.21,7,0.895,318,111.1,0,15.742,1782,N
Aug-86,"$91,500 ",357.5,1892.7,3.1,6.38,5.77,7.02,7.34,7.46,6.9,0.848,115,111.1,0.18,17.285,1807,N
Sep-86,"$95,000 ",384.7,1775.3,3.1,5.77,5.19,6.45,7.03,7.23,7,0.864,346,112,0.46,21.495,1687,N
Oct-86,"$96,400 ",423.2,1898.3,2.9,5.99,5.19,6.93,7.41,7.57,7,0.837,187,112,0.09,14.793,1681,N
Nov-86,"$94,000 ",401,1767.6,2.9,5.93,5.21,6.71,7.29,7.57,6.9,0.827,187,112.5,0.09,14.822,1623,N
Dec-86,"$95,000 ",389.5,1877.7,2.9,6.38,5.42,6.69,7.18,7.42,6.6,0.83,201,112.5,0.09,18.079,1833,N
Jan-87,"$98,500 ",388.75,1914.2,2.7,14.35,5.55,6.75,7.18,7.44,6.6,0.868,169,113.3,0.63,12.414,1774,N
Feb-87,"$95,200 ",400.5,1897.4,2.7,6.28,5.61,6.75,7.23,7.52,6.6,0.911,241,113.6,0.36,15.109,1784,N
Mar-87,"$98,400 ",405.85,2158,2.7,6.02,5.48,6.69,7.17,7.46,6.6,0.918,245,114.2,0.45,15.299,1726,N
Apr-87,"$96,500 ",421,2224,3.4,6.22,5.54,7.12,7.59,7.89,6.3,0.94,335,115,0.54,15.452,1614,N
May-87,"$104,900 ",453.25,2304.7,3.4,7.67,5.6,7.98,8.39,8.59,6.3,0.948,229,115.4,0.35,14.572,1628,N
Jun-87,"$109,000 ",451,2286.4,3.4,6.74,5.7,8.08,8.45,8.63,6.2,0.966,172,115.8,0.35,15.619,1594,N
Jul-87,"$105,000 ",447.3,2291.6,3.3,6.07,5.64,7.96,8.36,8.49,6.1,0.98,347,116,0.26,15.655,1575,N
Aug-87,"$106,800 ",462.5,2418.5,3.3,6.75,6.05,8.34,8.81,9.02,6,1.004,173,116.9,0.53,17.092,1605,N
Sep-87,"$106,500 ",453.4,2572.1,3.3,6.84,6.12,8.57,9.05,9.24,5.9,1,227,117.5,0.52,16.119,1695,N
Oct-87,"$106,500 ",459.5,2663,4.5,7.71,6.63,9.22,9.66,9.8,6,0.988,491,118.1,0.26,14.258,1515,N
Nov-87,"$117,000 ",468.8,2596.3,4.5,6.62,5.62,8.44,8.98,9.13,5.8,0.987,234,118.3,0.09,14.543,1656,N
Dec-87,"$111,800 ",492.5,1993.5,4.5,7.04,5.55,8.44,9.01,9.15,5.7,0.975,289,118.3,0,15.645,1400,N
Jan-88,"$119,000 ",484.1,1833.6,4.2,6.89,5.88,8.35,8.83,8.95,5.7,0.947,92,118.9,0.26,16.083,1271,N
Feb-88,"$110,900 ",458,1950.8,4.2,6.96,5.66,7.78,8.26,8.42,5.7,0.928,461,119.2,0.26,16.513,1473,N
Mar-88,"$108,900 ",426.15,1958.2,4.2,6.66,5.62,7.61,8.15,8.4,5.7,0.92,275,119.6,0.43,16.182,1532,N
Apr-88,"$111,000 ",456.95,2071.6,4.5,6.7,5.85,8.19,8.68,8.92,5.4,0.946,243,120.4,0.52,15.545,1573,N
May-88,"$110,000 ",449,1988.1,4.5,6.98,6.08,8.39,8.94,9.17,5.6,0.97,230,120.7,0.34,15.941,1421,N
Jun-88,"$111,500 ",455.5,2032.3,4.5,7.24,6.47,8.57,9.03,9.12,5.4,0.971,364,121.4,0.43,15.854,1478,N
Jul-88,"$118,000 ",436.55,2031.1,4.2,7.75,6.55,8.38,8.77,8.84,5.4,0.984,224,121.8,0.42,15.704,1467,N
Aug-88,"$110,000 ",436.8,2141.7,4.2,7.91,6.91,8.7,9.07,9.17,5.6,1.004,124,122.5,0.42,15.385,1493,N
Sep-88,"$116,600 ",427.75,2128.7,4.2,8.27,7.28,8.95,9.25,9.31,5.4,0.992,339,123.9,0.67,15.047,1492,N
Oct-88,"$112,900 ",396.7,2027.6,3.8,8.54,7.24,8.59,8.84,8.96,5.4,0.976,263,124.1,0.33,15.162,1522,N
Nov-88,"$110,400 ",412.4,2112.9,3.8,8.35,7.34,8.38,8.68,8.76,5.3,0.972,341,124.4,0.08,15.394,1569,N
Dec-88,"$121,000 ",422.6,2148.7,3.8,8.54,7.85,8.88,9.01,9.02,5.3,0.953,281,124.5,0.17,16.437,1563,N
Jan-89,"$113,000 ",410.25,2114.5,4.3,9.04,8.14,9.25,9.23,9.09,5.4,0.944,263,125.4,0.5,15.372,1621,N
Feb-89,"$118,000 ",394,2168.4,4.3,9.02,8.37,9.05,8.99,8.83,5.2,0.955,266,125.8,0.41,14.991,1425,N
Mar-89,"$123,000 ",387,2342.3,4.3,9.82,8.66,9.43,9.36,9.18,5,0.974,194,126.7,0.58,14.662,1422,N
Apr-89,"$116,700 ",383.2,2258.4,3.7,9.79,8.82,9.39,9.21,9.07,5.2,1.098,170,127.4,0.65,16.024,1339,N
May-89,"$119,000 ",377.55,2293.6,3.7,9.85,8.62,9.19,9.14,9,5.2,1.152,122,128.3,0.57,15.267,1331,N
Jun-89,"$122,800 ",361.8,2418.8,3.7,9.84,8.61,8.65,8.61,8.61,5.3,1.15,114,128.5,0.24,14.384,1397,N
Jul-89,"$116,000 ",373,2480.2,3.9,9.63,7.97,7.99,8.09,8.07,5.2,1.132,42,129,0.24,14.695,1427,N
Aug-89,"$122,900 ",368.3,2440.1,3.9,8.95,7.63,7.49,7.74,7.83,5.2,1.096,51,129.1,0.16,16.547,1332,N
Sep-89,"$120,000 ",359.8,2660.7,3.9,8.93,7.86,8.18,8.19,8.14,5.3,1.073,249,130,0.32,15.66,1279,N
Oct-89,"$123,000 ",366.5,2737.3,2.7,9.24,7.89,8.33,8.28,8.22,5.3,1.071,107,130.6,0.48,13.581,1410,N
Nov-89,"$125,000 ",375.3,2692.8,2.7,8.98,7.78,7.86,7.91,7.89,5.4,1.046,276,131.1,0.24,13.37,1351,N
Dec-89,"$125,200 ",408.15,2645.1,2.7,8.51,7.53,7.7,7.81,7.88,5.4,1.03,84,131.3,0.16,13.55,1251,N
Jan-90,"$125,000 ",398.6,2706.3,2.8,7.97,7.58,7.87,7.94,8,5.4,1.09,361,132.9,1.03,16.308,1551,N
Feb-90,"$126,900 ",415.05,2753.2,2.8,8.25,7.76,8.35,8.42,8.44,5.3,1.086,238,133.1,0.47,14.363,1437,N
Mar-90,"$119,400 ",407.7,2590.5,2.8,8.3,7.81,8.53,8.59,8.61,5.2,1.076,209,134.1,0.55,14.486,1289,N
Apr-90,"$130,000 ",368.5,2627.3,2.4,8.3,7.78,8.65,8.65,8.63,5.4,1.096,44,134.5,0.16,14.281,1248,N
May-90,"$125,000 ",367.75,2707.2,2.4,8.11,7.92,9.08,9.08,9.04,5.4,1.114,151,134.7,0.23,14.022,1212,N
Jun-90,"$125,000 ",363.05,2656.8,2.4,8.28,7.68,8.38,8.44,8.43,5.2,1.14,18,134.9,0.54,14.149,1177,N
Jul-90,"$118,700 ",352.2,2876.7,1.7,8.32,7.74,8.35,8.43,8.41,5.5,1.139,-33,136,0.38,14.081,1171,Y
Aug-90,"$118,400 ",372.3,2880.7,1.7,8.07,7.42,8.06,8.29,8.36,5.7,1.246,-207,137.4,0.92,13.859,1115,Y
Sep-90,"$113,000 ",387.75,2905.2,1.7,8.06,7.39,8.53,8.9,9.03,5.9,1.347,-97,138.6,0.84,14.298,1110,Y
Oct-90,"$120,000 ",408.4,2614.4,0.6,8.25,7.13,8.38,8.71,8.84,5.9,1.431,-153,139.4,0.6,13.749,1014,Y
Nov-90,"$118,900 ",379.5,2452.5,0.6,8.06,7.05,8.15,8.57,8.7,6.2,1.432,-154,139.7,0.22,13.134,1145,Y
Dec-90,"$127,000 ",384.85,2442.3,0.6,7.61,7.05,7.88,8.22,8.36,6.3,1.41,-46,139.7,0,12.958,969,Y
Jan-91,"$117,900 ",386.2,2559.7,-1,5.53,6.46,7.59,7.97,8.14,6.4,1.304,-111,140.9,0.6,11.829,798,Y
Feb-91,"$119,900 ",366,2633.7,-1,6.3,6,7.45,7.91,8.09,6.6,1.198,-321,141.2,0.15,12.409,965,Y
Mar-91,"$122,500 ",362.7,2736.4,-1,6.35,6.09,7.78,8.12,8.28,6.8,1.138,-159,141.4,0.15,12.848,921,Y
Apr-91,"$121,000 ",355.65,2882.2,-0.5,6.48,5.76,7.74,8.07,8.25,6.7,1.159,-209,141.6,0.15,12.038,1001,N
May-91,"$116,000 ",357.75,2913.9,-0.5,5.9,5.54,7.63,8.01,8.18,6.9,1.209,-116,141.7,0.3,12.487,996,N
Jun-91,"$119,000 ",360.4,2887.9,-0.5,5.92,5.6,7.8,8.14,8.34,6.9,1.214,86,142.1,0.29,12.719,1036,N
Jul-91,"$120,000 ",368.35,3027.5,-0.1,6.38,5.58,7.93,8.26,8.44,6.8,1.185,-45,142.4,0.15,12.972,1063,N
Aug-91,"$120,800 ",362.85,2911.7,-0.1,5.86,5.55,7.78,8.2,8.38,6.9,1.196,21,142.9,0.29,12.565,1049,N
Sep-91,"$120,000 ",347.4,3024.8,-0.1,5.5,5.34,7.32,7.81,8.05,6.9,1.199,25,143.6,0.44,13.107,1015,N
Oct-91,"$122,600 ",354.9,3043.6,1.2,5.4,5.1,6.9,7.45,7.81,7,1.18,19,143.7,0.15,12.217,1079,N
Nov-91,"$118,500 ",357.45,3016.8,1.2,5.03,4.75,6.71,7.48,7.93,7,1.193,-60,144.3,0.29,12.576,1103,N
Dec-91,"$122,000 ",366.3,3069.1,1.2,4.86,4.38,6.43,7.32,7.92,7.3,1.182,33,144.6,0.07,12.658,1079,N
Jan-92,"$120,000 ",353.15,2894.7,2.9,4.09,3.86,5.98,6.78,7.46,7.3,1.135,42,144.9,0.15,12.591,1176,N
Feb-92,"$117,200 ",354.1,3168.8,2.9,4.4,3.84,6.52,7.36,7.82,7.4,1.117,-59,145.3,0.36,12.927,1250,N
Mar-92,"$120,000 ",353.1,3223.4,2.9,4.13,4.03,6.73,7.38,7.9,7.4,1.122,55,146.2,0.51,12.824,1297,N
Apr-92,"$120,000 ",341.7,3267.7,3.2,4.98,4.01,6.82,7.46,7.9,7.4,1.143,155,146.3,0.14,12.55,1099,N
May-92,"$113,000 ",336.35,3235.5,3.2,3.75,3.63,6.82,7.56,8.01,7.6,1.197,129,146.3,0.14,13.098,1214,N
Jun-92,"$124,500 ",337.5,3359.1,3.2,3.96,3.75,6.69,7.39,7.9,7.8,1.239,67,147,0.36,13.543,1145,N
Jul-92,"$118,000 ",343.4,3396.9,3.7,3.89,3.55,6.27,7.1,7.76,7.7,1.237,75,147.5,0.21,12.853,1139,N
Aug-92,"$123,500 ",357.85,3318.5,3.7,3.37,3.17,5.82,6.72,7.46,7.6,1.221,135,148.2,0.28,12.873,1226,N
Sep-92,"$119,500 ",340,3393.8,3.7,3.39,3.15,5.52,6.56,7.38,7.6,1.222,34,148.5,0.28,13.378,1186,N
Oct-92,"$125,000 ",349,3257.4,4.4,3.58,2.61,5.18,6.23,7.3,7.3,1.219,181,148.9,0.35,13.655,1244,N
Nov-92,"$128,900 ",339.25,3271.7,4.4,3.04,3.01,5.96,6.88,7.66,7.4,1.223,133,149,0.14,13.218,1214,N
Dec-92,"$126,000 ",334.2,3226.3,4.4,3.17,3.33,6.24,6.94,7.57,7.4,1.201,222,148.9,-0.07,13.784,1227,N
Jan-93,"$118,000 ",332.9,3305.2,3.3,2.66,3.08,5.9,6.6,7.33,7.3,1.182,300,149.7,0.49,13.457,1210,N
Feb-93,"$129,400 ",330.45,3301.1,3.3,3.25,2.9,5.55,6.38,7.21,7.1,1.172,248,150.4,0.35,12.969,1210,N
Mar-93,"$125,000 ",327.6,3310,3.3,3.65,2.95,5.12,5.94,6.83,7,1.163,-48,150.9,0.35,13.326,1083,N
Apr-93,"$127,000 ",337.8,3370.8,2.8,3.31,2.9,5.24,6.06,6.97,7.1,1.175,303,151.1,0.28,14.527,1258,N
May-93,"$129,900 ",354.3,3435.1,2.8,3.01,2.87,5.06,5.96,6.86,7.1,1.193,271,150.8,0.14,14.519,1260,N
Jun-93,"$124,500 ",377.45,3427.6,2.8,3.33,3.04,5.28,6.07,6.88,7,1.194,179,151.2,0.14,14.49,1280,N
Jul-93,"$123,900 ",378.45,3527.4,2.3,3.27,2.99,5.04,5.8,6.69,6.9,1.174,305,151.4,0,14.451,1254,N
Aug-93,"$126,600 ",401.75,3516.1,2.3,3.07,3.07,5.2,5.85,6.56,6.8,1.163,154,151.7,0.28,13.584,1300,N
Sep-93,"$129,400 ",371.55,3539.5,2.3,3.25,3.01,4.81,5.46,6.09,6.7,1.151,241,151.8,0.21,13.99,1343,N
Oct-93,"$125,000 ",355.5,3651.3,2.6,3.19,2.92,4.72,5.34,5.98,6.8,1.193,285,152.5,0.41,14.911,1392,N
Nov-93,"$130,000 ",369.6,3555.1,2.6,3.15,3.05,4.96,5.56,6.02,6.6,1.178,253,152.7,0.07,14.882,1376,N
Dec-93,"$125,000 ",370.9,3680.6,2.6,3.07,3.14,5.161,5.813,6.301,6.5,1.136,329,152.7,0,15.004,1533,N
Jan-94,"$126,000 ",391.75,3684,3.4,2.85,3.01,5.204,5.796,6.346,6.6,1.109,282,153.2,0.27,15.379,1272,N
Feb-94,"$129,900 ",377.9,3754.1,3.4,3.25,3.02,5.05,5.651,6.231,6.6,1.114,184,154,0.34,15.52,1337,N
Mar-94,"$132,300 ",381.55,3978.4,3.4,3.31,3.39,5.609,6.168,6.692,6.5,1.109,463,154.3,0.34,15.301,1564,N
Apr-94,"$129,000 ",389.2,3832,4.2,3.64,3.61,6.401,6.908,7.241,6.4,1.128,344,154.4,0.14,16.013,1465,N
May-94,"$129,900 ",376.45,3633.1,4.2,3.73,3.85,6.642,7.05,7.311,6.1,1.143,336,154.2,0.07,14.577,1526,N
Jun-94,"$133,500 ",387.6,3681.7,4.2,4.33,4.21,6.795,7.182,7.456,6.1,1.169,314,154.8,0.34,15.109,1409,N
Jul-94,"$124,400 ",388.25,3758.4,4.3,3.82,4.13,6.915,7.289,7.591,6.1,1.199,371,155.2,0.27,14.875,1439,N
Aug-94,"$133,300 ",384,3625,4.3,4.34,4.28,6.793,7.176,7.403,6,1.243,289,155.9,0.4,15.359,1450,N
Sep-94,"$129,700 ",385.75,3764.5,4.3,4.76,4.55,6.8,7.174,7.452,5.9,1.237,349,156.1,0.27,15.274,1474,N
Oct-94,"$132,000 ",394.85,3913.4,4.1,5.44,4.65,7.292,7.604,7.825,5.8,1.212,213,156.4,0.07,15.894,1450,N
Nov-94,"$129,900 ",383.85,3843.2,4.1,4.76,5.06,7.515,7.826,7.994,5.6,1.222,412,156.7,0.13,15.89,1511,N
