Date,Open,High,Low,Close,Volume
11/30/77,816,850.1,794.5,829.7,111581956
12/31/77,829.7,835.2,800.4,831.2,101722556
1/31/78,830.5,830.5,759.4,769.9,96572931
2/28/78,769.9,787.4,739.2,742.1,83142856
3/31/78,742.1,777.8,736.8,757.4,112236092
4/30/78,756.7,846.2,747.1,837.3,156902257
5/31/78,837.3,865.6,813.8,840.6,174981203
6/30/78,840.6,879.3,808,819,150290977
7/31/78,819,866.3,800.9,862.3,122140603
8/31/78,862.3,911.2,855.3,876.8,195101505
9/30/78,876.8,917.2,850.9,865.8,151644360
10/31/78,865.8,909.4,782.1,792.5,153911276
11/30/78,805.5,831.7,779.1,799,116077443
12/31/78,802,829.9,781,805,111076692
1/31/79,805,865,798.5,839.2,138886467
2/28/79,839.2,844,802.2,808.8,107303007
3/31/79,808.8,877,807.3,862.2,146571426
4/30/79,859.9,884.6,847.3,854.9,139996242
5/31/79,854.9,863.2,815.1,822.3,140693231
6/30/79,822.3,853.1,817.7,842,172218497
7/31/79,840.6,857,818,846.4,153550376
8/31/79,846.4,893.6,839.1,887.6,186101504
9/30/79,887.6,902.1,857.9,878.6,161039098
10/31/79,877.7,904.9,796,815.7,193518045
11/30/79,815.7,838.6,792.2,822.4,147439849
12/31/79,822.4,851.5,814.8,838.7,160197743
1/31/80,838.7,897.9,809,875.9,261257143
2/29/80,875.9,918.2,847.3,863.1,215758645
3/31/80,863.1,868.7,730,785.8,197695489
4/30/80,785.8,818.5,751.4,817.1,152061655
5/31/80,817.1,866.1,795.8,850.9,172538346
6/30/80,850.9,896.3,840.7,867.9,187141354
7/31/80,867.9,946.9,862.6,935.3,230474437
8/31/80,935.3,972.4,918.5,932.6,217818045
9/30/80,932.6,980.7,918,932.4,238581201
10/31/80,932.4,987.3,911.6,924.5,232734585
11/30/80,924.5,1009.4,924.5,993.3,222881957
12/31/80,991.1,991.1,894.5,964,231349626
1/31/81,964,1013.1,930.9,947.3,215530828
2/28/81,947.1,980.9,923.9,974.6,184130077
3/31/81,974.6,1021.8,955.7,1003.9,264931577
4/30/81,1003.9,1031,981.8,997.8,253414288
5/31/81,997.8,1005.2,956.7,991.8,204232332
6/30/81,991.8,1023,972.7,976.9,248339097
7/31/81,976.9,979,918.7,952.3,215181205
8/31/81,952.3,961.5,879.1,881.5,207642857
9/30/81,881.5,892.4,807.5,850,216347367
10/31/81,850,885.8,823.6,852.6,225013534
11/30/81,856,892.8,834.6,889,222839096
12/31/81,889,898.5,862.8,875,216421804
1/31/82,875,887.4,832.6,871.1,218422556
2/28/82,866.3,866.3,802.2,824.4,219290977
3/31/82,824.4,840.7,786.2,822.8,286170676
4/30/82,822.8,871.2,820.5,848.4,256351128
5/31/82,848.4,876.5,815.5,819.5,231532331
6/30/82,819.5,824.3,784.3,811.9,250495488
7/31/82,811.9,843.8,787.4,808.6,258313533
8/31/82,808.6,911,770,901.3,377316542
9/30/82,901.3,951.2,888.7,896.3,349181953
10/31/82,896.3,1051.9,892,991.7,466592481
11/30/82,991.7,1078.5,983.7,1039.3,418881203
12/31/82,1039.3,1077.9,983.4,1046.5,379416543
1/31/83,1046.5,1105.1,1013.4,1075.7,419007517
2/28/83,1075.7,1135.3,1046.8,1112.2,364387219
3/31/83,1112.2,1158.5,1105.1,1130,429004509
4/30/83,1130,1235.5,1102.2,1226.2,403053381
5/31/83,1225.4,1244.5,1174.3,1200,440555637
6/30/83,1200,1260.7,1176.8,1222,445231582
7/31/83,1222,1258.5,1179.8,1199.2,358684962
8/31/83,1199.2,1219.8,1152.1,1216.2,384909020
9/30/83,1216.2,1270.7,1197.4,1233.1,392438347
10/31/83,1233.1,1286.7,1214.6,1225.2,404801502
11/30/83,1225.2,1297,1208.7,1276,409310527
12/31/83,1276,1285.5,1231.2,1258.6,417036090
1/31/84,1258.6,1295.4,1209.6,1220.6,499772932
2/29/84,1220.6,1226.6,1115,1154.6,435972179
3/31/84,1154.6,1197.2,1131.7,1164.9,418403005
4/30/84,1164.9,1182.1,1117.3,1170.8,387412784
5/31/84,1170.8,1194.4,1083.2,1104.9,437492483
6/30/84,1106.3,1144.8,1079.4,1132.4,408918048
7/31/84,1132.4,1139.5,1079,1115.3,374932327
8/31/84,1115.3,1253.8,1115,1224.4,569981957
9/30/84,1222.4,1248.2,1189.8,1206.7,398945866
10/31/84,1206.7,1246,1158.2,1207.4,475991729
11/30/84,1207.4,1247.5,1180.8,1188.9,396378945
12/31/84,1188.9,1223.6,1154.7,1211.6,401729325
1/31/85,1211.6,1305.1,1178.7,1286.8,603092481
2/28/85,1286.1,1307.5,1263.9,1284,495027066
3/31/85,1284,1310,1242.8,1266.8,485659396
4/30/85,1266.8,1290.3,1245.8,1258.1,447040601
5/31/85,1258.1,1320.8,1235.5,1315.4,530151878
6/30/85,1315.4,1341.2,1285.4,1335.5,477518794
7/31/85,1335.5,1372.2,1313.4,1347.5,555579697
8/31/85,1347.5,1361.9,1303.7,1334,433804511
9/30/85,1334,1348.2,1283.7,1328.6,419584963
10/31/85,1328.6,1384.6,1315.2,1374.3,573663157
11/30/85,1374.3,1486.9,1367.8,1472.1,551587218
12/31/85,1472.1,1570.9,1450.3,1546.7,632566920
1/31/86,1546.7,1582.9,1491.7,1571,649400753
2/28/86,1571,1732.6,1564.3,1709.1,653932330
3/31/86,1709.1,1849.7,1663.1,1818.6,725097743
4/30/86,1818.6,1870.2,1712.5,1784,730917292
5/31/86,1784,1898.2,1746.5,1876.7,604565415
6/30/86,1876.7,1908.6,1816.1,1892.7,597654135
7/31/86,1892.7,1922.7,1741.6,1775.3,683436091
8/31/86,1775.3,1918.6,1730.6,1898.3,609451127
9/30/86,1898.3,1933.4,1733,1767.6,714203007
10/31/86,1767.6,1894.7,1761.3,1877.7,680467669
11/30/86,1877.7,1926.5,1797.1,1914.2,663345110
12/31/86,1914.2,1971.7,1880.5,1896,735534587
1/31/87,1897.4,2214.6,1897.4,2158,911476692
2/28/87,2158,2266.5,2134.4,2224,786157897
3/31/87,2224,2399.6,2209.1,2304.7,894383458
4/30/87,2304.7,2428.4,2180.5,2286.4,886849625
5/31/87,2286.4,2380.8,2188.5,2291.6,770909774
6/30/87,2291.6,2466,2260.6,2418.5,810902255
7/31/87,2418.5,2588.3,2391.3,2572.1,894676692
8/31/87,2572.1,2746.7,2526,2663,916330827
9/30/87,2663,2695.5,2469,2596.3,839819550
10/31/87,2596.3,2662.4,1616.2,1993.5,1374699246
11/30/87,1993.5,2027.5,1795.3,1833.6,809666165
12/31/87,1833.6,2019.6,1733.9,1938.8,885733084
1/31/88,1950.8,2075.3,1846,1958.2,788278193
2/29/88,1958.2,2078.1,1878.2,2071.6,833061655
3/31/88,2071.6,2110.9,1951.3,1988.1,914201504
4/30/88,1988.1,2121.4,1968,2032.3,735509775
5/31/88,2032.3,2072,1921.6,2031.1,728880451
6/30/88,2031.1,2169.1,2021.3,2141.7,971438346
7/31/88,2141.7,2169.5,2047.3,2128.7,753038346
8/31/88,2128.7,2151.9,1978.7,2031.7,750557141
9/30/88,2027.6,2140.3,1988.4,2112.9,690101503
10/31/88,2112.9,2195.1,2082.3,2148.7,770336843
11/30/88,2148.7,2186,2026.7,2114.5,636726317
12/31/88,2114.5,2193.8,2075.4,2168.6,641706765
1/31/89,2168.4,2350.2,2127.1,2342.3,796741355
2/28/89,2342.3,2369.3,2232.1,2258.4,725476691
3/31/89,2258.4,2351.1,2234.5,2293.6,790495487
4/30/89,2293.6,2433.1,2282.1,2418.8,730206769
5/31/89,2418.8,2521.6,2356.3,2480.2,845260150
6/30/89,2480.2,2545,2412.9,2440.1,894719549
7/31/89,2440.1,2668.3,2431.5,2660.7,732863911
8/31/89,2660.7,2758.7,2619.7,2737.3,890774439
9/30/89,2737.3,2768.2,2636.8,2692.8,684593232
10/31/89,2692.8,2809.1,2496.9,2645.1,905113537
11/30/89,2645.1,2718.2,2563.1,2706.3,683945861
12/31/89,2706.3,2784.8,2658.7,2753.2,724831578
1/31/90,2753.2,2834,2513.1,2590.5,855620301
2/28/90,2590.5,2674.3,2541,2627.3,668120301
3/31/90,2627.3,2775,2607.9,2707.2,740589472
4/30/90,2707.2,2793.5,2627.7,2656.8,631856392
5/31/90,2656.8,2908.2,2651.4,2876.7,811281204
6/30/90,2876.7,2956.9,2821.5,2880.7,727732329
7/31/90,2880.7,3024.3,2833.2,2905.2,760222556
8/31/90,2905.2,2931.2,2459.4,2614.4,905472182
9/30/90,2614.4,2665.4,2367.8,2452.5,605729324
10/31/90,2452.5,2565.4,2344.3,2442.3,827954888
11/30/90,2442.3,2581.2,2415.6,2559.7,710129323
12/31/90,2559.7,2662.6,2534.7,2633.7,703017295
1/31/91,2633.7,2747.3,2447,2736.4,825360902
2/28/91,2736.4,2955.2,2694.3,2882.2,969392481
3/31/91,2882.2,3017.8,2829.2,2913.9,885757895
4/30/91,2913.9,3030.5,2848.5,2887.9,905839851
5/31/91,2887.9,3044.5,2834.5,3027.5,845282708
6/30/91,3027.5,3057.5,2879.3,2906.8,731521804
7/31/91,2911.7,3039.6,2897.4,3024.8,781827069
8/31/91,3024.8,3068.7,2836.3,3043.6,845663910
9/30/91,3043.6,3066.6,2963.1,3016.8,731194735
10/31/91,3016.8,3091,2925.5,3069.1,917266919
