Date,Open,High,Low,Close,Adj Close,Volume
1971-09-01,4.500000,4.870000,4.500000,4.600000,4.600000,0
1971-10-01,4.550000,4.570000,4.310000,4.310000,4.310000,0
1971-11-01,4.260000,4.400000,4.100000,4.340000,4.340000,0
1971-12-01,4.310000,4.310000,3.680000,3.680000,3.680000,0
1972-01-01,3.690000,3.720000,3.020000,3.350000,3.350000,0
1972-02-01,3.430000,3.460000,2.990000,3.460000,3.460000,0
1972-03-01,3.470000,3.940000,3.470000,3.830000,3.830000,0
1972-04-01,3.790000,3.860000,3.460000,3.630000,3.630000,0
1972-05-01,3.620000,3.840000,3.420000,3.810000,3.810000,0
1972-06-01,3.830000,4.060000,3.820000,4.060000,4.060000,0
1972-07-01,4.140000,4.140000,3.800000,3.800000,3.800000,0
1972-08-01,3.790000,4.550000,3.770000,4.550000,4.550000,0
1972-09-01,4.540000,4.740000,4.540000,4.550000,4.550000,0
1972-10-01,4.510000,4.840000,4.510000,4.760000,4.760000,0
1972-11-01,4.750000,4.880000,4.660000,4.880000,4.880000,0
1972-12-01,4.900000,5.190000,4.900000,5.140000,5.140000,0
1973-01-01,5.220000,5.740000,5.120000,5.680000,5.680000,0
1973-02-01,5.760000,5.900000,5.370000,5.850000,5.850000,0
1973-03-01,5.790000,6.400000,5.750000,6.400000,6.400000,0
1973-04-01,6.460000,6.550000,6.110000,6.230000,6.230000,0
1973-05-01,6.290000,6.920000,5.970000,6.920000,6.920000,0
1973-06-01,6.970000,7.520000,6.970000,7.520000,7.520000,0
1973-07-01,7.900000,8.320000,7.630000,8.320000,8.320000,0
1973-08-01,8.380000,9.050000,8.270000,8.660000,8.660000,0
1973-09-01,8.780000,9.040000,6.960000,6.980000,6.980000,0
1973-10-01,7.060000,7.640000,7.020000,7.360000,7.360000,0
1973-11-01,7.480000,8.620000,7.300000,7.300000,7.300000,0
1973-12-01,7.120000,7.680000,7.120000,7.460000,7.460000,0
1974-01-01,7.520000,8.010000,7.470000,7.480000,7.480000,0
1974-02-01,7.310000,7.460000,6.930000,7.460000,7.460000,0
1974-03-01,7.540000,8.550000,7.540000,8.280000,8.280000,0
1974-04-01,8.310000,8.900000,7.760000,8.900000,8.900000,0
1974-05-01,8.770000,8.860000,7.540000,8.080000,8.080000,0
1974-06-01,8.090000,8.360000,7.300000,7.340000,7.340000,0
1974-07-01,7.280000,7.920000,7.280000,7.670000,7.670000,0
1974-08-01,7.940000,9.740000,7.940000,8.930000,8.930000,0
1974-09-01,9.410000,9.410000,6.120000,6.120000,6.120000,0
1974-10-01,6.690000,8.140000,6.520000,7.800000,7.800000,0
1974-11-01,7.780000,7.820000,7.170000,7.470000,7.470000,0
1974-12-01,7.310000,7.530000,6.770000,7.060000,7.060000,0
1975-01-01,6.900000,6.900000,5.490000,5.680000,5.680000,0
1975-02-01,5.660000,5.830000,5.160000,5.400000,5.400000,0
1975-03-01,5.590000,5.640000,5.350000,5.530000,5.530000,0
1975-04-01,5.640000,6.010000,5.340000,5.500000,5.500000,0
1975-05-01,5.500000,5.500000,4.940000,5.200000,5.200000,0
1975-06-01,5.250000,6.000000,4.880000,5.860000,5.860000,0
1975-07-01,6.020000,6.340000,6.000000,6.250000,6.250000,0
1975-08-01,6.350000,6.580000,6.350000,6.360000,6.360000,0
1975-09-01,6.420000,6.580000,6.330000,6.580000,6.580000,0
1975-10-01,6.530000,6.530000,5.460000,5.510000,5.510000,0
1975-11-01,5.570000,5.600000,5.300000,5.540000,5.540000,0
1975-12-01,5.550000,5.680000,5.170000,5.200000,5.200000,0
1976-01-01,5.200000,5.230000,4.680000,4.730000,4.730000,0
1976-02-01,4.800000,5.000000,4.800000,5.000000,5.000000,0
1976-03-01,5.200000,5.250000,4.850000,4.970000,4.970000,0
1976-04-01,5.010000,5.010000,4.690000,4.910000,4.910000,0
1976-05-01,4.880000,5.490000,4.860000,5.490000,5.490000,0
1976-06-01,5.550000,5.570000,5.310000,5.370000,5.370000,0
1976-07-01,5.360000,5.400000,5.110000,5.170000,5.170000,0
1976-08-01,5.110000,5.190000,5.070000,5.090000,5.090000,0
1976-09-01,5.090000,5.120000,5.030000,5.060000,5.060000,0
1976-10-01,5.040000,5.100000,4.790000,4.890000,4.890000,0
1976-11-01,4.840000,4.930000,4.420000,4.420000,4.420000,0
1976-12-01,4.410000,4.440000,4.240000,4.340000,4.340000,0
1977-01-01,4.390000,4.770000,4.390000,4.720000,4.720000,0
1977-02-01,4.740000,4.760000,4.610000,4.700000,4.700000,0
1977-03-01,4.700000,4.700000,4.540000,4.540000,4.540000,0
1977-04-01,4.540000,4.690000,4.390000,4.690000,4.690000,0
1977-05-01,4.750000,5.170000,4.690000,5.030000,5.030000,0
1977-06-01,5.040000,5.080000,4.930000,4.980000,4.980000,0
1977-07-01,5.020000,5.400000,5.020000,5.400000,5.400000,0
1977-08-01,5.350000,5.670000,5.320000,5.560000,5.560000,0
1977-09-01,5.560000,5.970000,5.530000,5.890000,5.890000,0
1977-10-01,5.950000,6.360000,5.950000,6.180000,6.180000,0
1977-11-01,6.220000,6.220000,6.040000,6.040000,6.040000,0
1977-12-01,6.030000,6.190000,5.950000,6.130000,6.130000,0
1978-01-01,6.180000,6.680000,6.160000,6.420000,6.420000,0
1978-02-01,6.410000,6.510000,6.400000,6.420000,6.420000,0
1978-03-01,6.420000,6.470000,6.160000,6.470000,6.470000,0
1978-04-01,6.310000,6.420000,6.090000,6.350000,6.350000,0
1978-05-01,6.310000,6.650000,6.250000,6.650000,6.650000,0
1978-06-01,6.610000,7.010000,6.590000,7.010000,7.010000,0
1978-07-01,6.950000,7.200000,6.740000,6.760000,6.760000,0
1978-08-01,6.880000,7.540000,6.720000,7.540000,7.540000,0
1978-09-01,7.700000,8.150000,7.570000,7.980000,7.980000,0
1978-10-01,7.980000,8.750000,7.520000,8.750000,8.750000,0
1978-11-01,8.850000,9.120000,7.980000,9.010000,9.010000,0
1978-12-01,8.850000,9.370000,8.850000,9.260000,9.260000,0
1979-01-01,9.410000,9.460000,9.250000,9.290000,9.290000,0
1979-02-01,9.250000,9.470000,9.180000,9.450000,9.450000,0
1979-03-01,9.400000,9.560000,9.390000,9.440000,9.440000,0
1979-04-01,9.540000,9.750000,9.070000,9.560000,9.560000,0
1979-05-01,9.500000,9.770000,9.500000,9.570000,9.570000,0
1979-06-01,9.520000,9.540000,8.750000,8.950000,8.950000,0
1979-07-01,8.930000,9.440000,8.930000,9.180000,9.180000,0
1979-08-01,9.160000,9.810000,9.160000,9.810000,9.810000,0
1979-09-01,10.020000,10.550000,10.020000,10.120000,10.120000,0
1979-10-01,10.150000,13.010000,10.150000,12.120000,12.120000,0
1979-11-01,12.060000,12.480000,11.050000,11.490000,11.490000,0
1979-12-01,11.830000,12.600000,11.640000,12.040000,12.040000,0
1980-01-01,12.170000,12.290000,11.450000,12.000000,12.000000,0
1980-02-01,12.170000,14.010000,11.920000,14.010000,14.010000,0
1980-03-01,15.000000,16.000000,14.240000,14.240000,14.240000,0
1980-04-01,15.030000,15.030000,10.390000,10.390000,10.390000,0
1980-05-01,10.360000,10.360000,7.520000,7.750000,7.750000,0
1980-06-01,7.900000,7.900000,6.180000,7.880000,7.880000,0
1980-07-01,8.040000,8.620000,7.760000,8.620000,8.620000,0
1980-08-01,8.700000,10.320000,8.380000,9.960000,9.960000,0
1980-09-01,9.870000,11.440000,9.740000,11.440000,11.440000,0
1980-10-01,11.450000,12.710000,10.910000,12.710000,12.710000,0
1980-11-01,13.170000,14.480000,13.040000,14.480000,14.480000,0
1980-12-01,14.710000,17.139999,14.120000,14.300000,14.300000,0
